Sub.,S,Id,Equip.A,Equip Type,ChA,T. Name,Conf,Pinout,Equip.B,Equip Type,ChB,T. Name,Length,Real Length,Tray,Routing,Comments,Status,Diameter
VC,S,037410,BL11-VC-VGCT-RKX11A03-04,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,AI09,B2,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037410,BL11-VC-VGCT-RKX11A03-04,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR16,B3,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037410,BL11-VC-VGCT-RKX11A03-04,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR17,B4,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,P,038107,BL11-VC-VGCT-RKX11A03-04,MKS 937A CC-1,PI1,A,STP6-1,,BL11-VC-BLVS-EH01-01,ALBA BL VACSEC-2,PIR,B,0.0,33,S5,L1ChEH01BEA, Falta etiqueta en los dos extremos,TO-Tested (Ok),7.2
VC,P,038108,BL11-VC-VGCT-RKX11A03-04,MKS 937A CC-1,PI2,A,STP6-1,,BL11-VC-BLVS-EH01-02,ALBA BL VACSEC-3,PIR,B,0.0,33,S5,L1ChEH01BEA, Falta etiqueta en los dos extremos,TO-Tested (Ok),7.2
VC,C,040354,BL11-VC-VGCT-RKX11A03-04,MKS 937A CC-1,SP1,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P11,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,P,034691,BL11-VC-IPCT-RKX11A03-01,Varian Dual Controller,HV1,A,CoaxHV-1b,,BL11-VC-IP300-OH01-01,Gamma Vacuum 300T,HVIN,B,0.0,21.5,S5,L1ChOH01BOA, Falta etiqueta en lado rack,TO-Tested (Ok),7.5
VC,P,034692,BL11-VC-IPCT-RKX11A03-01,Varian Dual Controller,HV2,A,CoaxHV-1b,,BL11-OP-FIXM-OH01-01,BL11 FIXED MASKS,IP,B,0.0,20.5,S5,L1ChOH01BOA, Falta etiqueta en lado rack,TO-Tested (Ok),7.5
VC,C,037412,BL11-VC-IPCT-RKX11A03-01,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO01,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037412,BL11-VC-IPCT-RKX11A03-01,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI01,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037413,BL11-VC-IPCT-RKX11A03-01,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO02,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037413,BL11-VC-IPCT-RKX11A03-01,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI02,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,034705,BL11-VC-IPCT-RKX11A03-01,Varian Dual Controller,SP,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P6,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,P,034693,BL11-VC-IPCT-RKX11A03-02,Varian Dual Controller,HV1,A,CoaxHV-1b,,BL11-VC-IP150-OH01-01,Gamma Vacuum 150T,HVIN,B,0.0,21.5,S5,L1ChOH01BOA, Falta etiqueta en lado rack,TO-Tested (Ok),7.5
VC,P,034694,BL11-VC-IPCT-RKX11A03-02,Varian Dual Controller,HV2,A,CoaxHV-1b,,BL11-OP-MONO-OH01-01,BL11 MONO,IP,B,0.0,18.5,S5,L1ChOH01BOB, Falta etiqueta en lado rack,TO-Tested (Ok),7.5
VC,C,037414,BL11-VC-IPCT-RKX11A03-02,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO03,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037414,BL11-VC-IPCT-RKX11A03-02,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI03,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037415,BL11-VC-IPCT-RKX11A03-02,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO04,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037415,BL11-VC-IPCT-RKX11A03-02,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI04,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
