"Sub."	"S"	"Id"	"Equip.A"	"Equip Type"	"ChA"	"T. Name"	"Conf"	"Pinout"	"Equip.B"	"Equip Type"	"ChB"	"T. Name"	"Length"	"Real Length"	"Tray"	"Routing"	"Comments"	"Status"	"Diameter"
"VC"	"C"	37935	"BL04-VC-IPCT-RKX04A01-02"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DO04"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37936	"BL04-VC-IPCT-RKX04A01-02"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DO05"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37936	"BL04-VC-IPCT-RKX04A01-02"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DI04"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37937	"BL04-VC-IPCT-RKX04A01-03"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DI05"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37937	"BL04-VC-IPCT-RKX04A01-03"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DO06"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37938	"BL04-VC-IPCT-RKX04A01-03"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DO07"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37938	"BL04-VC-IPCT-RKX04A01-03"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DI06"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37939	"BL04-VC-IPCT-RKX04A01-04"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DI07"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37939	"BL04-VC-IPCT-RKX04A01-04"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DO08"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37940	"BL04-VC-IPCT-RKX04A01-04"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DI08"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37940	"BL04-VC-IPCT-RKX04A01-04"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DO09"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37942	"FE04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DI09"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37942	"FE04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DO10"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37943	"FE04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR08"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37943	"FE04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR09"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"S"	37944	"BL04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR02"	"B4"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37944	"BL04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"AI02"	"B1"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37944	"BL04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"SPR01"	"B3"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37944	"BL04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"AI03"	"B2"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
"VC"	"S"	37945	"BL04-VC-VGCT-RKX04A01-02"	"MKS 937A CC-1"	"AOUT"	"A1"	"STP12-1"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"AI04"	"B1"	0	13.5	"S1"	"NONE"		"AI-Authorized for Installation"	10.9
