ID11/EPS/PLC-01,A,50,390,835,1155,2135,2455
VAR,,MODBUS ADDRESS,TYPE VAR,,,DEVICES,DEVICE TYPE
A06C0201REM1_IVU_S05_01_IP1_DI,.StatusWrite,414,INT,,,SR_ID_IVU_S05_01_TUBEAM2,A
A06C0201REM1_IVU_S05_01_IP1_DO,.StatusWrite,415,INT,,,SR_ID_IVU_S05_01_TUBEAM3,A
A06C0201REM2_IVU_S05_01_IP2_DI,.StatusWrite,416,INT,,,SR_ID_IVU_S05_01_TUBEAM4,A
A06C0201REM2_IVU_S05_01_IP2_DO,.StatusWrite,417,INT,,,SR_ID_IVU_S05_01_TUBEAM5,A
A06C0202REM1_IVU_S05_01_IP3_DI,.StatusWrite,418,INT,,,SR_ID_IVU_S05_01_TVES_1,A
A06C0202REM1_IVU_S05_01_IP3_DO,.StatusWrite,419,INT,,,SR_ID_IVU_S05_01_TVES_2,A
A06C0202REM2_IVU_S05_01_IP4_DI,.StatusWrite,420,INT,,,SR_ID_IVU_S05_01_TVES_3,A
A06C0202REM2_IVU_S05_01_IP4_DO,.StatusWrite,421,INT,,,SR_ID_IVU_S05_01_TVES_4,A
A06C0203REM1_IVU_S05_01_IP5_DI,.StatusWrite,422,INT,,,SR_ID_IVU_S05_01_TVES_5,A
A06C0203REM1_IVU_S05_01_IP5_DO,.StatusWrite,423,INT,,,SR_ID_IVU_S05_01_TW_INLET,A
A06C0203REM2_IVU_S05_01_IP6_DI,.StatusWrite,424,INT,,,SR_ID_IVU_S05_01_TW_OUTLET1,A
A06C0203REM2_IVU_S05_01_IP6_DO,.StatusWrite,425,INT,,,SR_ID_IVU_S05_01_TW_OUTLET2,A
A06C0204REM1_IVU_S05_01_IP7_DI,.StatusWrite,426,INT,,,SR_ID_IVU_S05_01_TW_OUTLET3,A
A06C0204REM1_IVU_S05_01_IP7_DO,.StatusWrite,427,INT,,,SR_ID_IVU_S05_01_TW_OUTLET4,A
A06C0204REM2_IVU_S05_01_IP8_DI,.StatusWrite,428,INT,,,SR_ID_IVU_S05_01_TW_OUTLET5,A
A06C0204REM2_IVU_S05_01_IP8_DO,.StatusWrite,429,INT,,,SR_ID_IVU_S05_01_TW_OUTLET6,A
A06C0205REM1_IVU_S05_01_IP9_DI,.StatusWrite,430,INT,,,SR_ID_IVU_S05_01_WFM,AF
A06C0205REM1_IVU_S05_01_IP9_DO,.StatusWrite,431,INT,,,A06C0201CC1_IVU_S05_01_CC1_AF,AF
SR_ID_IVU_S05_01_EVTS1,.StatusRead,835,INT,,,A06C0201CC2_IVU_S05_01_CC2_AF,AF
SR_ID_IVU_S05_01_EVTS1,.Value,836,INT,,,,
SR_ID_IVU_S05_01_P1TS1,.StatusRead,837,INT,,,,
SR_ID_IVU_S05_01_P1TS1,.Value,838,INT,,,,
SR_ID_IVU_S05_01_P2TS1,.StatusRead,839,INT,,,,
SR_ID_IVU_S05_01_P2TS1,.Value,840,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH1,.StatusRead,841,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH1,.Value,842,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH2,.StatusRead,843,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWH2,.Value,844,INT,,,,
SR_ID_IVU_S05_01_TCOIL_DWV1,.StatusRead,845,INT,,,,
